Month,Index,Sales,t,tsq,tcube,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1/1/2006,1,808,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2006,2,969,2,4,8,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2006,3,1475,3,9,27,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2006,4,1439,4,16,64,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2006,5,1394,5,25,125,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2006,6,1364,6,36,216,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2006,7,890,7,49,343,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2006,8,896,8,64,512,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2006,9,1068,9,81,729,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2006,10,968,10,100,1000,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2006,11,783,11,121,1331,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2006,12,1346,12,144,1728,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2007,13,522,13,169,2197,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2007,14,1478,14,196,2744,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2007,15,1955,15,225,3375,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2007,16,2153,16,256,4096,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2007,17,1929,17,289,4913,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2007,18,1999,18,324,5832,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2007,19,1854,19,361,6859,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2007,20,2272,20,400,8000,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2007,21,1943,21,441,9261,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2007,22,1816,22,484,10648,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2007,23,2557,23,529,12167,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2007,24,3048,24,576,13824,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2008,25,1139,25,625,15625,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2008,26,1274,26,676,17576,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2008,27,1687,27,729,19683,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2008,28,1895,28,784,21952,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2008,29,1681,29,841,24389,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2008,30,1689,30,900,27000,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2008,31,2151,31,961,29791,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2008,32,198,32,1024,32768,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2008,33,1802,33,1089,35937,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2008,34,1414,34,1156,39304,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2008,35,1164,35,1225,42875,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2008,36,2297,36,1296,46656,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2009,37,408,37,1369,50653,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2009,38,916,38,1444,54872,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2009,39,2708,39,1521,59319,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2009,40,2706,40,1600,64000,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2009,41,2019,41,1681,68921,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2009,42,1175,42,1764,74088,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2009,43,862,43,1849,79507,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2009,44,1893,44,1936,85184,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2009,45,1918,45,2025,91125,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2009,46,861,46,2116,97336,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2009,47,107,47,2209,103823,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2009,48,2101,48,2304,110592,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2010,49,935,49,2401,117649,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,50,1364,50,2500,125000,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2010,51,1595,51,2601,132651,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2010,52,1279,52,2704,140608,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2010,53,1706,53,2809,148877,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2010,54,1964,54,2916,157464,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2010,55,4,55,3025,166375,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2010,56,2565,56,3136,175616,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2010,57,2256,57,3249,185193,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2010,58,2318,58,3364,195112,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2010,59,3717,59,3481,205379,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2010,60,5642,60,3600,216000,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2011,61,2017,61,3721,226981,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2011,62,2061,62,3844,238328,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2011,63,3092,63,3969,250047,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2011,64,2613,64,4096,262144,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2011,65,1182,65,4225,274625,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2011,66,1546,66,4356,287496,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2011,67,1903,67,4489,300763,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2011,68,1501,68,4624,314432,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2011,69,2047,69,4761,328509,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2011,70,2237,70,4900,343000,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2011,71,1768,71,5041,357911,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2011,72,4483,72,5184,373248,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2012,73,669,73,5329,389017,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2012,74,861,74,5476,405224,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2012,75,1353,75,5625,421875,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2012,76,1499,76,5776,438976,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2012,77,1522,77,5929,456533,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2012,78,1402,78,6084,474552,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2012,79,1636,79,6241,493039,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2012,80,1463,80,6400,512000,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2012,81,1992,81,6561,531441,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2012,82,1757,82,6724,551368,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2012,83,1797,83,6889,571787,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2012,84,4148,84,7056,592704,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2013,85,559,85,7225,614125,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2013,86,1742,86,7396,636056,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2013,87,225,87,7569,658503,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2013,88,251,88,7744,681472,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2013,89,2797,89,7921,704969,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2013,90,2475,90,8100,729000,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2013,91,1493,91,8281,753571,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2013,92,13,92,8464,778688,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2013,93,103,93,8649,804357,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2013,94,1495,94,8836,830584,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2013,95,2175,95,9025,857375,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2013,96,2595,96,9216,884736,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2014,97,366,97,9409,912673,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2014,98,363,98,9604,941192,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2014,99,512,99,9801,970299,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2014,100,682,100,10000,1000000,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2014,101,647,101,10201,1030301,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2014,102,576,102,10404,1061208,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2014,103,953,103,10609,1092727,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2014,104,975,104,10816,1124864,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2014,105,888,105,11025,1157625,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2014,106,920,106,11236,1191016,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2014,107,1136,107,11449,1225043,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2014,108,2128,108,11664,1259712,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2015,109,327,109,11881,1295029,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2015,110,535,110,12100,1331000,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2015,111,107,111,12321,1367631,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2015,112,1547,112,12544,1404928,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2015,113,1006,113,12769,1442897,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2015,114,757,114,12996,1481544,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2015,115,916,115,13225,1520875,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2015,116,997,116,13456,1560896,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2015,117,510,117,13689,1601613,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2015,118,900,118,13924,1643032,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2015,119,1058,119,14161,1685159,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2015,120,1326,120,14400,1728000,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2016,121,149,121,14641,1771561,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2016,122,588,122,14884,1815848,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2016,123,955,123,15129,1860867,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2016,124,836,124,15376,1906624,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2016,125,104,125,15625,1953125,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2016,126,913,126,15876,2000376,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2016,127,754,127,16129,2048383,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2016,128,1104,128,16384,2097152,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2016,129,858,129,16641,2146689,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2016,130,1302,130,16900,2197000,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2016,131,1839,131,17161,2248091,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2016,132,1175,132,17424,2299968,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2017,133,439,133,17689,2352637,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2017,134,413,134,17956,2406104,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2017,135,439,135,18225,2460375,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2017,136,427,136,18496,2515456,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2017,137,484,137,18769,2571353,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2017,138,707,138,19044,2628072,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2017,139,852,139,19321,2685619,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2017,140,501,140,19600,2744000,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2017,141,481,141,19881,2803221,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2017,142,897,142,20164,2863288,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2017,143,633,143,20449,2924207,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2017,144,1024,144,20736,2985984,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2018,145,309,145,21025,3048625,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2018,146,376,146,21316,3112136,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2018,147,294,147,21609,3176523,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2018,148,318,148,21904,3241792,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2018,149,370,149,22201,3307949,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2018,150,218,150,22500,3375000,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2018,151,193,151,22801,3442951,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2018,152,243,152,23104,3511808,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2018,153,101,153,23409,3581577,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2018,154,114,154,23716,3652264,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2018,155,632,155,24025,3723875,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2018,156,237,156,24336,3796416,0,0,0,0,0,0,0,0,0,0,0,1
1/1/2019,157,47,157,24649,3869893,1,0,0,0,0,0,0,0,0,0,0,0
2/1/2019,158,114,158,24964,3944312,0,1,0,0,0,0,0,0,0,0,0,0
3/1/2019,159,132,159,25281,4019679,0,0,1,0,0,0,0,0,0,0,0,0
4/1/2019,160,103,160,25600,4096000,0,0,0,1,0,0,0,0,0,0,0,0
5/1/2019,161,103,161,25921,4173281,0,0,0,0,1,0,0,0,0,0,0,0
6/1/2019,162,94,162,26244,4251528,0,0,0,0,0,1,0,0,0,0,0,0
7/1/2019,163,42,163,26569,4330747,0,0,0,0,0,0,1,0,0,0,0,0
8/1/2019,164,80,164,26896,4410944,0,0,0,0,0,0,0,1,0,0,0,0
9/1/2019,165,116,165,27225,4492125,0,0,0,0,0,0,0,0,1,0,0,0
10/1/2019,166,179,166,27556,4574296,0,0,0,0,0,0,0,0,0,1,0,0
11/1/2019,167,169,167,27889,4657463,0,0,0,0,0,0,0,0,0,0,1,0
12/1/2019,168,171,168,28224,4741632,0,0,0,0,0,0,0,0,0,0,0,1
