Index,Sales,Up,Sup,Lag1,Lag2,Lag3,Jan,Dec
1,808,,,,,,1,0
2,969,1,0,,,,0,0
3,1475,1,1,161,,,0,0
4,1439,0,0,506,161,,0,0
5,1394,0,0,-36,506,161,0,0
6,1364,0,0,-45,-36,506,0,0
7,890,0,0,-30,-45,-36,0,0
8,896,1,0,-474,-30,-45,0,0
9,1068,1,0,6,-474,-30,0,0
10,968,0,0,172,6,-474,0,0
11,783,0,0,-100,172,6,0,0
12,1346,1,1,-185,-100,172,0,1
13,522,0,0,563,-185,-100,1,0
14,1478,1,1,-824,563,-185,0,0
15,1955,1,1,956,-824,563,0,0
16,2153,1,0,477,956,-824,0,0
17,1929,0,0,198,477,956,0,0
18,1999,1,0,-224,198,477,0,0
19,1854,0,0,70,-224,198,0,0
20,2272,1,0,-145,70,-224,0,0
21,1943,0,0,418,-145,70,0,0
22,1816,0,0,-329,418,-145,0,0
23,2557,1,1,-127,-329,418,0,0
24,3048,1,0,741,-127,-329,0,1
25,1139,0,0,491,741,-127,1,0
26,1274,1,0,-1909,491,741,0,0
27,1687,1,1,135,-1909,491,0,0
28,1895,1,0,413,135,-1909,0,0
29,1681,0,0,208,413,135,0,0
30,1689,1,0,-214,208,413,0,0
31,2151,1,1,8,-214,208,0,0
32,198,0,0,462,8,-214,0,0
33,1802,1,1,-1953,462,8,0,0
34,1414,0,0,1604,-1953,462,0,0
35,1164,0,0,-388,1604,-1953,0,0
36,2297,1,1,-250,-388,1604,0,1
37,408,0,0,1133,-250,-388,1,0
38,916,1,1,-1889,1133,-250,0,0
39,2708,1,1,508,-1889,1133,0,0
40,2706,0,0,1792,508,-1889,0,0
41,2019,0,0,-2,1792,508,0,0
42,1175,0,0,-687,-2,1792,0,0
43,862,0,0,-844,-687,-2,0,0
44,1893,1,1,-313,-844,-687,0,0
45,1918,1,0,1031,-313,-844,0,0
46,861,0,0,25,1031,-313,0,0
47,107,0,0,-1057,25,1031,0,0
48,2101,1,1,-754,-1057,25,0,1
49,935,0,0,1994,-754,-1057,1,0
50,1364,1,1,-1166,1994,-754,0,0
51,1595,1,0,429,-1166,1994,0,0
52,1279,0,0,231,429,-1166,0,0
53,1706,1,1,-316,231,429,0,0
54,1964,1,0,427,-316,231,0,0
55,4,0,0,258,427,-316,0,0
56,2565,1,1,-1960,258,427,0,0
57,2256,0,0,2561,-1960,258,0,0
58,2318,1,0,-309,2561,-1960,0,0
59,3717,1,1,62,-309,2561,0,0
60,5642,1,1,1399,62,-309,0,1
61,2017,0,0,1925,1399,62,1,0
62,2061,1,0,-3625,1925,1399,0,0
63,3092,1,1,44,-3625,1925,0,0
64,2613,0,0,1031,44,-3625,0,0
65,1182,0,0,-479,1031,44,0,0
66,1546,1,1,-1431,-479,1031,0,0
67,1903,1,0,364,-1431,-479,0,0
68,1501,0,0,357,364,-1431,0,0
69,2047,1,1,-402,357,364,0,0
70,2237,1,0,546,-402,357,0,0
71,1768,0,0,190,546,-402,0,0
72,4483,1,1,-469,190,546,0,1
73,669,0,0,2715,-469,190,1,0
74,861,1,1,-3814,2715,-469,0,0
75,1353,1,1,192,-3814,2715,0,0
76,1499,1,0,492,192,-3814,0,0
77,1522,1,0,146,492,192,0,0
78,1402,0,0,23,146,492,0,0
79,1636,1,0,-120,23,146,0,0
80,1463,0,0,234,-120,23,0,0
81,1992,1,1,-173,234,-120,0,0
82,1757,0,0,529,-173,234,0,0
83,1797,1,0,-235,529,-173,0,0
84,4148,1,1,40,-235,529,0,1
85,559,0,0,2351,40,-235,1,0
86,1742,1,1,-3589,2351,40,0,0
87,225,0,0,1183,-3589,2351,0,0
88,251,1,0,-1517,1183,-3589,0,0
89,2797,1,1,26,-1517,1183,0,0
90,2475,0,0,2546,26,-1517,0,0
91,1493,0,0,-322,2546,26,0,0
92,13,0,0,-982,-322,2546,0,0
93,103,1,1,-1480,-982,-322,0,0
94,1495,1,1,90,-1480,-982,0,0
95,2175,1,1,1392,90,-1480,0,0
96,2595,1,0,680,1392,90,0,1
97,366,0,0,420,680,1392,1,0
98,363,0,0,-2229,420,680,0,0
99,512,1,1,-3,-2229,420,0,0
100,682,1,1,149,-3,-2229,0,0
101,647,0,0,170,149,-3,0,0
102,576,0,0,-35,170,149,0,0
103,953,1,1,-71,-35,170,0,0
104,975,1,0,377,-71,-35,0,0
105,888,0,0,22,377,-71,0,0
106,920,1,0,-87,22,377,0,0
107,1136,1,0,32,-87,22,0,0
108,2128,1,1,216,32,-87,0,1
109,327,0,0,992,216,32,1,0
110,535,1,1,-1801,992,216,0,0
111,107,0,0,208,-1801,992,0,0
112,1547,1,1,-428,208,-1801,0,0
113,1006,0,0,1440,-428,208,0,0
114,757,0,0,-541,1440,-428,0,0
115,916,1,0,-249,-541,1440,0,0
116,997,1,0,159,-249,-541,0,0
117,510,0,0,81,159,-249,0,0
118,900,1,1,-487,81,159,0,0
119,1058,1,0,390,-487,81,0,0
120,1326,1,1,158,390,-487,0,1
121,149,0,0,268,158,390,1,0
122,588,1,1,-1177,268,158,0,0
123,955,1,1,439,-1177,268,0,0
124,836,0,0,367,439,-1177,0,0
125,104,0,0,-119,367,439,0,0
126,913,1,1,-732,-119,367,0,0
127,754,0,0,809,-732,-119,0,0
128,1104,1,1,-159,809,-732,0,0
129,858,0,0,350,-159,809,0,0
130,1302,1,1,-246,350,-159,0,0
131,1839,1,1,444,-246,350,0,0
132,1175,0,0,537,444,-246,0,1
133,439,0,0,-664,537,444,1,0
134,413,0,0,-736,-664,537,0,0
135,439,1,0,-26,-736,-664,0,0
136,427,0,0,26,-26,-736,0,0
137,484,1,0,-12,26,-26,0,0
138,707,1,1,57,-12,26,0,0
139,852,1,0,223,57,-12,0,0
140,501,0,0,145,223,57,0,0
141,481,0,0,-351,145,223,0,0
142,897,1,1,-20,-351,145,0,0
143,633,0,0,416,-20,-351,0,0
144,1024,1,1,-264,416,-20,0,1
145,309,0,0,391,-264,416,1,0
146,376,1,0,-715,391,-264,0,0
147,294,0,0,67,-715,391,0,0
148,318,1,0,-82,67,-715,0,0
149,370,1,0,24,-82,67,0,0
150,218,0,0,52,24,-82,0,0
151,193,0,0,-152,52,24,0,0
152,243,1,1,-25,-152,52,0,0
153,101,0,0,50,-25,-152,0,0
154,114,1,0,-142,50,-25,0,0
155,632,1,1,13,-142,50,0,0
156,237,0,0,518,13,-142,0,1
157,47,0,0,-395,518,13,1,0
158,114,1,1,-190,-395,518,0,0
159,132,1,0,67,-190,-395,0,0
160,103,0,0,18,67,-190,0,0
161,103,0,0,-29,18,67,0,0
162,94,0,0,0,-29,18,0,0
163,42,0,0,-9,0,-29,0,0
164,80,1,1,-52,-9,0,0,0
165,116,1,1,38,-52,-9,0,0
166,179,1,1,36,38,-52,0,0
167,169,0,0,63,36,38,0,0
168,171,1,0,-10,63,36,0,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
